name,description,date_time,url
Worship and Ministry Meeting,"The church in Madison warmly welcomes all students at UW-Madison to join us on Sundays for our WMM. Come enjoy some snacks, meet believers from the community, sing songs to the Lord, and hear a message from the word of God!","Sunday, November 17 2024 at 11:00 AM CST to Sunday, November 17 2024 at 12:00 PM CST",https://win.wisc.edu/event/10262841
Bangladesh Night 2024,"'Bangladesh Night 2024' event meant to be a diversifying experience for the students, especially in the sense of culture, food, and activities. Audience will have the opportunity to experience the vibrant culture of Bangladesh and enjoy an evening of unforgettable traditional performances, authentic cuisine, and cultural showcases.
Detailed description of the event
Date: November 17, 2024
Location: Play Circle (Cultural showcase) and Tripp Commons (Food)
Time: 6:00 pm-10:00 pm
6:00 pm: Gate opens (Play Circle)
Time: 6:00-6:15 pm
Activity: Guest reception
Details: Wiscard scan, form fill out by guests without wiscards, ticket distribution for food
Time: 6:15-6:30 pm
Activity: Opening remarks
Introduce the culture and customs and different arts and forms of music and dance available in Bangladesh.
Time: 6:30-8:30 pm
Activity: Cultural program
Details: A cultural program introducing traditional music, dance, and theatrical performances by students of UW-Madison and community members of Bangladesh.
Time: 8:30-9:30pm
Activity: Dinner and interaction with audience (Tripp Commons)
Details: Meet up with guests, get their review, social gathering. Traditional Bengali cuisine will be served.
Time: 9:30-10:00 pm
Activity: Clean up","Sunday, November 17 2024 at 6:00 PM CST to Sunday, November 17 2024 at 10:00 PM CST",https://win.wisc.edu/event/10684554
ISS Law Series: Pathways to Permanent Residence – Options for International Students and Scholars,,"Monday, November 18 2024 at 4:30 PM CST to Monday, November 18 2024 at 5:30 PM CST",https://win.wisc.edu/event/10698838
All-Campus Healthcare Symposium,"Join UW HOSA at the 19th annual All-Campus Healthcare Symposium! This networking event provides healthcare career-seeking students an opportunity to hear from a variety of professionals working in various areas. The event features a keynote speaker who works in healthcare, often a medical doctor pursuing groundbreaking research, as well as a variety of other healthcare students and professionals. Following the keynote speaker we will break out into multiple sessions featuring different healthcare fields for students to get an opportunity to ask questions in a Q&A panel style manner. There will be a breakout room for pre-med, pre-pa, nursing, as well as students interested in physical or occupational therapy. The goal of the event is to provide students with an opportunity to network with professionals in their desired fields and learn about a variety of healthcare careers! All UW students are welcome! Food will be provided!",N/A,https://win.wisc.edu/event/10669331
Monday Bible Study,"Join Christian Students on a journey through the book of Romans this semester!
Every Monday night, we'll gather in Ed Gordon Suite at Gordon's hall from 7:00-8:00 PM.
Feel free to bring a friend!","Monday, November 18 2024 at 7:00 PM CST to Monday, November 18 2024 at 8:00 PM CST",https://win.wisc.edu/event/10262829
Let's Talk (International Student Focus),"Mental Health Services and ISS Present: Let's Talk (International Student focus)
No-cost, informal, confidential consultations on campus and virtually
No topic is off limits and going to Let’s Talk  can help you gain insight, support, and information about other resources.
Common concerns include: stress, sadness, worry, relationships, academics, family problems, and financial struggles.
Let’s Talk is not a substitute for ongoing counseling and doesn’t constitute mental health treatment, but consultants can listen to specific problems, help explore solutions, and introduce you to what it’s like to speak to a member of our staff.","Tuesday, November 19 2024 at 10:00 AM CST to Tuesday, November 19 2024 at 12:00 PM CST",https://win.wisc.edu/event/10490254
Celebrate International Education Week with International Reach Cultural Speakers Program!,"Join us in celebrating International Education Week by attending this event featuring presentations from current international students about their culture and home countries! Student ambassadors that are presenting are from China, Mexico, and Spain.","Tuesday, November 19 2024 at 4:00 PM CST to Tuesday, November 19 2024 at 5:00 PM CST",https://win.wisc.edu/event/10698652
Global Café: Wisconsin Association of Kazakh Students (WAKS),"RSVP IS REQUIRED TO EAT! Room Capacity is 90 People. If you can't make it, please change your RSVP to ""NO"" so someone else can take your spot!","Wednesday, November 20 2024 at 4:30 PM CST to Wednesday, November 20 2024 at 6:00 PM CST",https://win.wisc.edu/event/10276163
General Meeting: Sustainable Fashion Trivia Night,"Come join ReWear It for our November General Meeting! This is a great opportunity to learn more about our org and how to get involved, meet new friends, and put your knowledge of sustainable fashion to the test.","Wednesday, November 20 2024 at 6:00 PM CST to Wednesday, November 20 2024 at 7:00 PM CST",https://win.wisc.edu/event/10725348
General Member Meeting 5,SLP members will take all of the various pieces of leadership skills they have learned as it relates to community and learn strategies to spreading those ideas to different and novel communities.,"Wednesday, November 20 2024 at 6:00 PM CST to Wednesday, November 20 2024 at 7:30 PM CST",https://win.wisc.edu/event/10497319
MadTappers Weekly Tap Class,"This is a tap dance technique class held on Wednesdays from 6:45 - 7:45pm in the SAC's multipurpose room. We welcome a mix of levels, though the class is geared mostly toward beginner tap dancers. The class is taught by members of the MadTapper's performing ensemble. We have a small collection of tap shoes available for students who want to try out tap dance without needing to purchase shoes; please reach out to club admin about borrowing tap shoes.","Wednesday, November 20 2024 at 6:45 PM CST to Wednesday, November 20 2024 at 7:45 PM CST",https://win.wisc.edu/event/10251454
Thursday Bible Study,"Join Christian Students on a journey through the book of Romans this semester!
Every Thursday night, we'll gather in Room 1110 of Dejope from 7:00-8:00 PM.
Feel free to bring a friend!","Thursday, November 21 2024 at 7:00 PM CST to Thursday, November 21 2024 at 8:00 PM CST",https://win.wisc.edu/event/10262813
Wisconsin Physical Education Club Friendsgiving Potluck,"Join us for a Friendsgiving Potluck on November 22nd from 5–8 PM at 454 West Washington Ave! Dinner will start at 5:30 PM, so come ready to enjoy a meal and celebrate together. Please RSVP using the Google Form and sign up to bring a dish—just remember that all dishes must be prepared beforehand. Let’s make this Friendsgiving a warm, delicious gathering!",N/A,https://win.wisc.edu/event/10681959
Thanksgiving Connection Banquet,"The Thanksgiving Connection banquet is a collaborative event designed to bring together international, domestic students, and UW faculty. The event aims to foster cultural exchange, community building, and professional connections among students, faculty, and professionals involved in East Asian studies and international programs at UW-Madison. Taking place on November 22 at Gordon’s Symphony Hall, the banquet will feature speeches from organizational leaders and sponsors, including CLACC, WISMA, the Center for East Asian Studies (CEAS), and potentially International Student Services (ISS), and more. These speeches could help raise awareness about other RSO-affiliated organizations, introduce speakers, and provide valuable insights into East Asian related programs and opportunities. Attendees will have the opportunity to network, enjoy authentic Asian cuisine food, and participate in various social activities such as Chinese board games (Mahjong, Doudizhu, Xiangqi, etc.), calligraphy, interactive table discussions, charades, and many more! The event's goals are to celebrate and promote cultural diversity, provide students with an opportunity to connect with faculty and advisors in a relaxed environment, the opportunity to connect international students and students from the U.S., and strengthen the ties between various student organizations on campus. With a projected attendance of 100 guests, the banquet also serves as a platform for recognizing the contributions of volunteers, TAs, and professors who support the growth of language and cultural studies at UW-Madison.","Friday, November 22 2024 at 6:00 PM CST to Friday, November 22 2024 at 9:00 PM CST",https://win.wisc.edu/event/10700580
WSCB Madison Children's Museum,,"Saturday, November 23 2024 at 10:00 AM CST to Saturday, November 23 2024 at 12:00 PM CST",https://win.wisc.edu/event/10727452
